"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53164","test_user_activity_sections","tests.configurations","2026-02-20","failed","2026-02-20","","test_Users","",""
"","37066","test_user_filter_options","tests.configurations","2026-02-20","passed","2026-02-20","","test_Users","",""
"test_login_functionality_valid_logins","6","test_login_functionality","tests","2026-02-20","passed","2026-02-20","","test_Login","",""
"","86866","test_saml_authentication_flow","tests.configurations","2026-02-20","passed","2026-02-20","","test_Athentication","",""
"","145892","test_Insights","tests","2026-02-20","passed","2026-02-20","","test_Insights","",""
"","27503","test_validate_edit_user_tabs","tests.configurations","2026-02-20","passed","2026-02-20","","test_Users","",""
"","88018","test_create_new_collabspace","tests","2026-02-20","passed","2026-02-20","","test_CollabSpace","",""
"","57777","test_teams_management","tests.configurations","2026-02-20","broken","2026-02-20","","test_Teams","",""
"","37485","test_users_management","tests.configurations","2026-02-20","passed","2026-02-20","","test_Users","",""
"","30488","test_search_edit_users","tests.configurations","2026-02-20","passed","2026-02-20","","test_Users","",""
"","94484","test_ask_question","tests","2026-02-20","passed","2026-02-20","","test_OngoingThreads","",""
