"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 14:30:46 UTC 2026","Fri Feb 20 14:31:15 UTC 2026","29387","ciathena.tests.configurations","test_Users","","","","test_search_edit_users",""
"broken","Fri Feb 20 14:39:37 UTC 2026","Fri Feb 20 14:40:25 UTC 2026","48163","ciathena.tests.configurations","test_Branding","","","","test_branding_configuration",""
"broken","Fri Feb 20 14:31:53 UTC 2026","Fri Feb 20 14:33:15 UTC 2026","81356","ciathena.tests","test_OngoingThreads","","","","test_ask_question",""
"broken","Fri Feb 20 14:29:24 UTC 2026","Fri Feb 20 14:30:07 UTC 2026","43245","ciathena.tests","test_CollabSpace","","","","test_create_new_collabspace",""
"passed","Fri Feb 20 14:46:39 UTC 2026","Fri Feb 20 14:49:19 UTC 2026","159516","ciathena.tests","test_Insights","","","","test_Insights",""
"failed","Fri Feb 20 14:42:04 UTC 2026","Fri Feb 20 14:42:26 UTC 2026","22161","ciathena.tests.configurations","test_Roles","","","","test_admin_full_access",""
"passed","Fri Feb 20 14:28:09 UTC 2026","Fri Feb 20 14:28:46 UTC 2026","36759","ciathena.tests.configurations","test_Users","","","","test_users_management",""
"failed","Fri Feb 20 14:43:04 UTC 2026","Fri Feb 20 14:43:27 UTC 2026","22196","ciathena.tests.configurations","test_Roles","","","","test_viewer_restricted_access",""
"passed","Fri Feb 20 14:33:53 UTC 2026","Fri Feb 20 14:34:30 UTC 2026","36771","ciathena.tests.configurations","test_Users","","","","test_user_filter_options",""
"passed","Fri Feb 20 14:49:57 UTC 2026","Fri Feb 20 14:49:57 UTC 2026","2","ciathena.tests","test_Login","","","","test_login_functionality","test_login_functionality_valid_logins"
"failed","Fri Feb 20 14:37:45 UTC 2026","Fri Feb 20 14:38:59 UTC 2026","74143","ciathena.tests.configurations","test_Athentication","","","","test_saml_authentication_flow",""
"passed","Fri Feb 20 14:35:08 UTC 2026","Fri Feb 20 14:35:35 UTC 2026","27345","ciathena.tests.configurations","test_Users","","","","test_validate_edit_user_tabs",""
"failed","Fri Feb 20 14:36:14 UTC 2026","Fri Feb 20 14:37:06 UTC 2026","52678","ciathena.tests.configurations","test_Users","","","","test_user_activity_sections",""
"failed","Fri Feb 20 14:44:05 UTC 2026","Fri Feb 20 14:44:27 UTC 2026","22161","ciathena.tests.configurations","test_Roles","","","","test_persona_selection_difference",""
"failed","Fri Feb 20 14:41:04 UTC 2026","Fri Feb 20 14:41:26 UTC 2026","22158","ciathena.tests.configurations","test_Roles","","","","test_all_default_personas",""
"broken","Fri Feb 20 14:45:05 UTC 2026","Fri Feb 20 14:46:01 UTC 2026","55512","ciathena.tests.configurations","test_Teams","","","","test_teams_management",""
